substrate,arm,band_k,seed,n,ipc
esn-mid (leak 0.3),B-drive,8,20260833,350,2.494
esn-slow (leak 0.1),A-readout,1,20260833,350,1.314
esn-slow (leak 0.1),B-drive,1,20260833,350,1.314
esn-slow (leak 0.1),A-readout,2,20260833,350,1.285
esn-slow (leak 0.1),B-drive,2,20260833,350,1.603
esn-slow (leak 0.1),A-readout,4,20260833,350,0.784
esn-slow (leak 0.1),B-drive,4,20260833,350,1.842
esn-slow (leak 0.1),A-readout,8,20260833,350,1.315
esn-slow (leak 0.1),B-drive,8,20260833,350,2.453
esn-fast (leak 1.0),A-readout,1,20260834,350,7.768
esn-fast (leak 1.0),B-drive,1,20260834,350,7.768
esn-fast (leak 1.0),A-readout,2,20260834,350,5.221
esn-fast (leak 1.0),B-drive,2,20260834,350,6.244
esn-fast (leak 1.0),A-readout,4,20260834,350,2.381
esn-fast (leak 1.0),B-drive,4,20260834,350,3.626
esn-fast (leak 1.0),A-readout,8,20260834,350,1.504
esn-fast (leak 1.0),B-drive,8,20260834,350,2.122
esn-mid (leak 0.3),A-readout,1,20260834,350,3.083
esn-mid (leak 0.3),B-drive,1,20260834,350,3.083
esn-mid (leak 0.3),A-readout,2,20260834,350,2.43
esn-mid (leak 0.3),B-drive,2,20260834,350,4.303
esn-mid (leak 0.3),A-readout,4,20260834,350,1.426
esn-mid (leak 0.3),B-drive,4,20260834,350,4.972
esn-mid (leak 0.3),A-readout,8,20260834,350,1.081
esn-mid (leak 0.3),B-drive,8,20260834,350,4.41
esn-slow (leak 0.1),A-readout,1,20260834,350,1.951
esn-slow (leak 0.1),B-drive,1,20260834,350,1.951
esn-slow (leak 0.1),A-readout,2,20260834,350,0.949
esn-slow (leak 0.1),B-drive,2,20260834,350,2.432
esn-slow (leak 0.1),A-readout,4,20260834,350,0.963
esn-slow (leak 0.1),B-drive,4,20260834,350,3.215
esn-slow (leak 0.1),A-readout,8,20260834,350,0.947
esn-slow (leak 0.1),B-drive,8,20260834,350,4.256
esn-fast (leak 1.0),A-readout,1,20260835,350,7.745
esn-fast (leak 1.0),B-drive,1,20260835,350,7.745
esn-fast (leak 1.0),A-readout,2,20260835,350,4.996
esn-fast (leak 1.0),B-drive,2,20260835,350,4.754
esn-fast (leak 1.0),A-readout,4,20260835,350,2.45
esn-fast (leak 1.0),B-drive,4,20260835,350,2.777
esn-fast (leak 1.0),A-readout,8,20260835,350,1.345
esn-fast (leak 1.0),B-drive,8,20260835,350,1.909
esn-mid (leak 0.3),A-readout,1,20260835,350,1.902
esn-mid (leak 0.3),B-drive,1,20260835,350,1.902
esn-mid (leak 0.3),A-readout,2,20260835,350,1.976
esn-mid (leak 0.3),B-drive,2,20260835,350,2.772
esn-mid (leak 0.3),A-readout,4,20260835,350,1.456
esn-mid (leak 0.3),B-drive,4,20260835,350,3.624
esn-mid (leak 0.3),A-readout,8,20260835,350,1.254
esn-mid (leak 0.3),B-drive,8,20260835,350,3.191
esn-slow (leak 0.1),A-readout,1,20260835,350,1.116
esn-slow (leak 0.1),B-drive,1,20260835,350,1.116
esn-slow (leak 0.1),A-readout,2,20260835,350,1.455
esn-slow (leak 0.1),B-drive,2,20260835,350,1.415
esn-slow (leak 0.1),A-readout,4,20260835,350,1.017
esn-slow (leak 0.1),B-drive,4,20260835,350,1.97
esn-slow (leak 0.1),A-readout,8,20260835,350,1.366
esn-slow (leak 0.1),B-drive,8,20260835,350,2.858
esn-fast (leak 1.0),A-readout,1,20260836,350,7.97
esn-fast (leak 1.0),B-drive,1,20260836,350,7.97
esn-fast (leak 1.0),A-readout,2,20260836,350,5.336
esn-fast (leak 1.0),B-drive,2,20260836,350,6.461
esn-fast (leak 1.0),A-readout,4,20260836,350,2.705
esn-fast (leak 1.0),B-drive,4,20260836,350,3.367
esn-fast (leak 1.0),A-readout,8,20260836,350,1.409
esn-fast (leak 1.0),B-drive,8,20260836,350,2.194
esn-mid (leak 0.3),A-readout,1,20260836,350,2.469
esn-mid (leak 0.3),B-drive,1,20260836,350,2.469
esn-mid (leak 0.3),A-readout,2,20260836,350,2.027
esn-mid (leak 0.3),B-drive,2,20260836,350,3.413
esn-mid (leak 0.3),A-readout,4,20260836,350,1.403
esn-mid (leak 0.3),B-drive,4,20260836,350,4.055
esn-mid (leak 0.3),A-readout,8,20260836,350,0.689
esn-mid (leak 0.3),B-drive,8,20260836,350,3.917
esn-slow (leak 0.1),A-readout,1,20260836,350,1.319
esn-slow (leak 0.1),B-drive,1,20260836,350,1.319
esn-slow (leak 0.1),A-readout,2,20260836,350,1.009
esn-slow (leak 0.1),B-drive,2,20260836,350,1.748
esn-slow (leak 0.1),A-readout,4,20260836,350,0.759
esn-slow (leak 0.1),B-drive,4,20260836,350,2.525
esn-slow (leak 0.1),A-readout,8,20260836,350,0.51
esn-slow (leak 0.1),B-drive,8,20260836,350,3.286
esn-fast (leak 1.0),A-readout,1,20260837,350,7.905
esn-fast (leak 1.0),B-drive,1,20260837,350,7.905
esn-fast (leak 1.0),A-readout,2,20260837,350,5.473
esn-fast (leak 1.0),B-drive,2,20260837,350,5.914
esn-fast (leak 1.0),A-readout,4,20260837,350,2.528
esn-fast (leak 1.0),B-drive,4,20260837,350,3.2
esn-fast (leak 1.0),A-readout,8,20260837,350,1.547
esn-fast (leak 1.0),B-drive,8,20260837,350,1.833
esn-mid (leak 0.3),A-readout,1,20260837,350,2.65
esn-mid (leak 0.3),B-drive,1,20260837,350,2.65
esn-mid (leak 0.3),A-readout,2,20260837,350,2.334
esn-mid (leak 0.3),B-drive,2,20260837,350,3.465
esn-mid (leak 0.3),A-readout,4,20260837,350,0.875
esn-mid (leak 0.3),B-drive,4,20260837,350,3.984
esn-mid (leak 0.3),A-readout,8,20260837,350,0.841
esn-mid (leak 0.3),B-drive,8,20260837,350,3.477
esn-slow (leak 0.1),A-readout,1,20260837,350,1.764
esn-slow (leak 0.1),B-drive,1,20260837,350,1.764
esn-slow (leak 0.1),A-readout,2,20260837,350,1.611
esn-slow (leak 0.1),B-drive,2,20260837,350,2.126
esn-slow (leak 0.1),A-readout,4,20260837,350,1.376
esn-slow (leak 0.1),B-drive,4,20260837,350,2.653
esn-slow (leak 0.1),A-readout,8,20260837,350,0.565
esn-slow (leak 0.1),B-drive,8,20260837,350,3.364
esn-fast (leak 1.0),A-readout,1,20260838,350,8.006
esn-fast (leak 1.0),B-drive,1,20260838,350,8.006
esn-fast (leak 1.0),A-readout,2,20260838,350,4.93
esn-fast (leak 1.0),B-drive,2,20260838,350,6.1
esn-fast (leak 1.0),A-readout,4,20260838,350,2.483
esn-fast (leak 1.0),B-drive,4,20260838,350,3.433
esn-fast (leak 1.0),A-readout,8,20260838,350,1.562
esn-fast (leak 1.0),B-drive,8,20260838,350,1.825
esn-mid (leak 0.3),A-readout,1,20260838,350,2.593
esn-mid (leak 0.3),B-drive,1,20260838,350,2.593
esn-mid (leak 0.3),A-readout,2,20260838,350,1.062
esn-mid (leak 0.3),B-drive,2,20260838,350,3.657
esn-mid (leak 0.3),A-readout,4,20260838,350,1.413
esn-mid (leak 0.3),B-drive,4,20260838,350,4.476
esn-mid (leak 0.3),A-readout,8,20260838,350,1.236
esn-mid (leak 0.3),B-drive,8,20260838,350,3.964
esn-slow (leak 0.1),A-readout,1,20260838,350,1.31
esn-slow (leak 0.1),B-drive,1,20260838,350,1.31
esn-slow (leak 0.1),A-readout,2,20260838,350,0.715
esn-slow (leak 0.1),B-drive,2,20260838,350,1.87
esn-slow (leak 0.1),A-readout,4,20260838,350,0.784
esn-slow (leak 0.1),B-drive,4,20260838,350,2.579
esn-slow (leak 0.1),A-readout,8,20260838,350,1.165
esn-slow (leak 0.1),B-drive,8,20260838,350,3.672
esn-fast (leak 1.0),A-readout,1,20260839,350,8.872
esn-fast (leak 1.0),B-drive,1,20260839,350,8.872
esn-fast (leak 1.0),A-readout,2,20260839,350,4.266
esn-fast (leak 1.0),B-drive,2,20260839,350,5.958
esn-fast (leak 1.0),A-readout,4,20260839,350,2.455
esn-fast (leak 1.0),B-drive,4,20260839,350,3.471
esn-fast (leak 1.0),A-readout,8,20260839,350,1.267
esn-fast (leak 1.0),B-drive,8,20260839,350,1.871
esn-mid (leak 0.3),A-readout,1,20260839,350,1.765
esn-mid (leak 0.3),B-drive,1,20260839,350,1.765
esn-mid (leak 0.3),A-readout,2,20260839,350,1.87
esn-mid (leak 0.3),B-drive,2,20260839,350,2.93
esn-mid (leak 0.3),A-readout,4,20260839,350,1.245
esn-mid (leak 0.3),B-drive,4,20260839,350,3.522
esn-mid (leak 0.3),A-readout,8,20260839,350,0.914
esn-mid (leak 0.3),B-drive,8,20260839,350,3.113
esn-slow (leak 0.1),A-readout,1,20260839,350,1.319
esn-slow (leak 0.1),B-drive,1,20260839,350,1.319
esn-slow (leak 0.1),A-readout,2,20260839,350,0.903
esn-slow (leak 0.1),B-drive,2,20260839,350,1.343
esn-slow (leak 0.1),A-readout,4,20260839,350,0.901
esn-slow (leak 0.1),B-drive,4,20260839,350,1.929
esn-slow (leak 0.1),A-readout,8,20260839,350,1.065
esn-slow (leak 0.1),B-drive,8,20260839,350,2.943
